Depth,Well Name,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
2808.0,STUART,66.27600000000001,0.63,3.3,10.65,3.591,1,1.0
2808.5,STUART,77.252,0.585,6.5,11.95,3.341,1,0.978
2809.0,STUART,82.899,0.5660000000000001,9.4,13.6,3.0639999999999996,1,0.956
2809.5,STUART,80.671,0.593,9.5,13.25,2.977,1,0.9329999999999999
2810.0,STUART,75.971,0.638,8.7,12.35,3.02,1,0.9109999999999999
2810.5,STUART,73.955,0.667,6.9,12.25,3.0860000000000003,1,0.889
2811.0,STUART,77.962,0.674,6.5,12.45,3.092,1,0.867
2811.5,STUART,83.89399999999999,0.667,6.3,12.65,3.123,1,0.8440000000000001
2812.0,STUART,84.42399999999999,0.653,6.7,13.05,3.1210000000000004,1,0.8220000000000001
2812.5,STUART,83.16,0.642,7.3,12.95,3.127,1,0.8
2813.0,STUART,79.063,0.6509999999999999,7.3,12.05,3.147,1,0.778
2813.5,STUART,69.002,0.677,6.2,10.8,3.096,1,0.7559999999999999
2814.0,STUART,63.983000000000004,0.69,4.4,9.7,3.103,1,0.733
2814.5,STUART,61.797,0.675,3.5,9.15,3.1010000000000004,1,0.711
2815.0,STUART,61.372,0.6459999999999999,2.8,9.3,3.065,1,0.6890000000000001
2815.5,STUART,63.535,0.621,2.8,9.8,2.9819999999999998,1,0.667
2816.0,STUART,65.126,0.6,3.3,10.55,2.9139999999999997,1,0.644
2816.5,STUART,75.93,0.5760000000000001,3.4,11.9,2.845,1,0.6
2817.0,STUART,85.07700000000001,0.584,4.4,12.9,2.8539999999999996,1,0.578
2817.5,STUART,89.459,0.598,6.6,13.5,2.986,1,0.556
2818.0,STUART,88.619,0.61,7.2,14.8,2.988,1,0.5329999999999999
2818.5,STUART,81.593,0.636,6.4,13.9,2.998,1,0.511
2819.0,STUART,66.595,0.7020000000000001,2.8,11.4,2.988,1,0.489
2819.5,STUART,55.081,0.789,2.7,8.15,3.028,1,0.467
2820.0,STUART,48.111999999999995,0.84,1.0,7.5,3.073,1,0.444
2820.5,STUART,43.73,0.846,0.4,7.1,3.1460000000000004,1,0.42200000000000004
2821.0,STUART,44.097,0.84,0.7,6.65,3.205,1,0.4
2821.5,STUART,46.839,0.8420000000000001,0.8,6.6,3.2539999999999996,1,0.37799999999999995
2822.0,STUART,50.348,0.843,1.1,6.75,3.23,1,0.35600000000000004
2822.5,STUART,57.129,0.8220000000000001,2.2,7.3,3.237,1,0.33299999999999996
2823.0,STUART,64.465,0.777,4.4,8.4,3.259,1,0.311
2823.5,STUART,70.267,0.7290000000000001,7.1,9.85,3.2889999999999997,1,0.289
2824.0,STUART,76.566,0.664,10.7,11.55,3.3810000000000002,1,0.244
2824.5,STUART,76.778,0.643,10.7,12.25,3.452,1,0.222
